Tuotekoodi;Laatu;Määrittely;Tuotenimi;Paksuus;Tuoteryhmä;Lisänimi;Halkaisija;Seinämä;Muu mitta;Pinta;Yksikkö paino;Paineluokka;Lisätiedot;Toleranssi;Sisähalkaisija;Leveys;Paksuus;Korkeus/pituus;Eräkoko
1200309;AISI 316;"2""";RISTIYHDE;0;Ristiyhde;;"2""";;;;1,18;;;;;;;;1
1200401;AISI 316;"1/8""";KULMAYHDE S/S;0;Kulmayhde;;"1/8""";;;;0,03;;;;;;;;1
1200402;AISI 316;"1/4""";KULMAYHDE S/S;0;Kulmayhde;;"1/4""";;;;0,04;;;;;;;;1
1200402S;AISI 316;"1/4""";KULMAYHDE S/S (ILMAN TUKEA);0;Kulmayhde;;"1/4""";;;;0,04;;;;;;;;1
1200403;AISI 316;"3/8""";KULMAYHDE S/S;0;Kulmayhde;;"3/8""";;;;0,06;;;;;;;;1
1200403N;AISI 316;"3/8"" NPT";KULMAYHDE S/S;0;Kulmayhde;;"3/8""";;;;0,06;;NPT;;;;;;1
1200404;AISI 316;"1/2""";KULMAYHDE S/S;0;Kulmayhde;;"1/2""";;;;0,11;;;;;;;;1
1200405;AISI 316;"3/4""";KULMAYHDE S/S;0;Kulmayhde;;"3/4""";;;;0,17;;;;;;;;1
1200406;AISI 316;"1""";KULMAYHDE S/S;0;Kulmayhde;;"1""";;;;0,29;;;;;;;;1
1200406N;AISI 316;"1"" NPT";KULMAYHDE S/S;0;Kulmayhde;Kulmayhde S/S NPT;"1""";;;;0,29;;NPT;;;;;;1
1200407;AISI 316;"1 1/4""";KULMAYHDE S/S;0;Kulmayhde;;"1 1/4""";;;;0,46;;;;;;;;1
1200407N;AISI 316;"1.1/4"" NPT";KULMAYHDE S/S;0;Kulmayhde;Kulmayhde S/S NPT;"1 1/4""";;;;0,46;;NPT;;;;;;1
1200408;AISI 316;"1 1/2""";KULMAYHDE S/S;0;Kulmayhde;;"1 1/2""";;;;0,52;;;;;;;;1
1200408N;AISI 316;"1.1/2"" NPT";KULMAYHDE S/S;0;Kulmayhde;Kulmayhde S/S NPT;"1 1/2""";;;;0,52;;NPT;;;;;;1
1200409;AISI 316;"2""";KULMAYHDE S/S;0;Kulmayhde;;"2""";;;;0,95;;;;;;;;1
1200410;AISI 316;"2 1/2""";KULMAYHDE S/S;0;Kulmayhde;;"2 1/2""";;;;1,57;;;;;;;;1
1200411;AISI 316;"3""";KULMAYHDE S/S;0;Kulmayhde;;"3""";;;;2,28;;;;;;;;1
1200412;AISI 316;"4""";KULMAYHDE S/S;0;Kulmayhde;;"4""";;;;3,1;;;;;;;;1
1200454;AISI 316;"1/2""";KULMAYHDE HITSATTAVA;0;Kulmayhde;;"1/2""";;;;0,11;;;;;;;;1
1200501;AISI 316;"1/8""";KULMAYHDE S/U;0;Kulmayhde s/u;;"1/8""";;;;0,03;;;;;;;;1
1200502;AISI 316;"1/4""";KULMAYHDE S/U;0;Kulmayhde s/u;;"1/4""";;;;0,04;;;;;;;;1
1200503;AISI 316;"3/8""";KULMAYHDE S/U;0;Kulmayhde s/u;;"3/8""";;;;0,06;;;;;;;;1
1200504;AISI 316;"1/2""";KULMAYHDE S/U;0;Kulmayhde s/u;;"1/2""";;;;0,11;;;;;;;;1
1200505;AISI 316;"3/4""";KULMAYHDE S/U;0;Kulmayhde s/u;;"3/4""";;;;0,17;;;;;;;;1
1200506;AISI 316;"1""";KULMAYHDE S/U;0;Kulmayhde s/u;;"1""";;;;0,29;;;;;;;;1
1200507;AISI 316;"1 1/4""";KULMAYHDE S/U;0;Kulmayhde s/u;;"1 1/4""";;;;0,46;;;;;;;;1
